game_no,problem,test_case_code,official_total,cleared,absent,cleared_plus_absent,consistent,scan_layout,virtual_time_s,average_clear_time_s,scan_phase_s,note
1,3,20260912-110952-324438,11,11,9,20,True,pure_ring8,6266.1,569.6,,
2,3,20260912-111451-146517,15,15,5,20,True,pure_ring8,7663.0,510.9,,
3,3,20260912-111714-968811,10,10,10,20,True,pure_ring8,6749.0,674.9,,
4,3,20260912-111828-755450,12,12,8,20,True,pure_ring8,7356.8,613.1,,
5,3,20260912-111956-941118,11,11,9,20,True,pure_ring8,5634.4,512.2,,
6,3,q3_20260912-004941-787471,15,12,5,17,False,pure_ring8,13977.720331,1164.8100275833333,2180.817409,action_cap_safety_exit；清12<总15
7,3,q3_20260912-005139-833629,14,13,6,19,False,pure_ring8,15726.953147,1209.7656266923077,2066.16895,action_cap_safety_exit；清13<总14
8,3,q3_20260912-005537-486927,12,11,8,19,False,pure_ring8,13088.302813,1189.8457102727273,2063.749958,action_cap_safety_exit；清11<总12；扫描段超差
9,3,q3_20260912-005924-381010,15,15,5,20,True,pure_ring8,11753.630933,783.5753955333333,1884.985813,扫描段超差
10,3,q3_20260912-010109-225646,11,11,9,20,True,pure_ring8,11501.083445,1045.5530404545455,2180.256657,
11,3,q3_20260912-010245-794247,13,13,7,20,True,pure_ring8,11108.257406,854.4813389230769,2154.196391,
12,3,q3_20260912-010427-522083,10,10,10,20,True,pure_ring8,8704.695839,870.4695839,2199.677006,
13,3,q3_20260912-010638-445314,10,10,10,20,True,pure_ring8,7991.388649,799.1388649,2016.873499,扫描段超差
